"Testo Italiano";"Polaritá positiva su testo italiano";"Polaritá negativa su testo italiano";"Testo Inglese";"Polaritá su testo inglese";"Rabbia Calcolata";"Anticipazione calcolata";"Disgusto calcolata";"Paura calcolata";"Gioia calcolata";"Tristezza calcolata";"Sorpresa calcolata";"Fiducia calcolata"
"Questo concerto e il festival in corso Puccini sono stati annunciati e spiegati dal presidente; era entusiasta e ha fornito un buon contesto per i concerti. La scelta delle arie di Puccini e Verdi è stata meravigliosa. Il soprano era abbastanza buono, il tenore era ok, anche se alla fine era stanco, e il pianista era un ottimo accompagnatore esperto. Ogni notte è diversa! Ci tornerò sicuramente quando sarò a Lucca!";"53.38";"33.39";"This concert and the festival going Puccini were announced and explained by the president; He was enthusiastic and provided a good environment for the concerts. The choice of arias by Puccini and Verdi was wonderful. The soprano was quite good, the tenor was ok, although in the end he was tired, and the pianist was a great expert guide. Every night is different! I will be back when I'm in Lucca!";3;"0.49";"2.62";"0.40";"1.58";"87.26";"1.50";"5.73";"0.42"
"La performance è stata molto buona, nel complesso un'ottima introduzione per i neofiti dell'opera. Il luogo era incantevole e l'acustica era abbastanza buona e ovviamente gli artisti erano eccezionali, adorava il pianista. Consiglio vivamente questo evento per una serata a Lucca.";"0.77";"0.03";"The performance was very good, overall a very good introduction to opera neophytes. The place was lovely and the acoustics were good enough and obviously the artists were great, loved the pianist. I highly recommend this event for a night in Lucca.";3;"0.28";"0.73";"0.31";"1.70";"72.98";"1.26";"1.24";"21.51"
"La maggior parte delle recensioni sono positive qui, e sono assolutamente d'accordo! Ora, alcuni consigli: lo spettacolo inizia alle 19.15, quindi va bene essere in ritardo. Dura un'ora, con una mini pausa tra due serie da 6 o 7 brani ciascuna. È possibile acquistare i biglietti all'ingresso, quindi non è necessario prenotare in anticipo durante i periodi più lenti (fine agosto e la chiesa era piena per circa 1/2.) Sono andato alla selezione italiana, quindi Verdi, Puccini e pochi altri - due cantanti d'opera e un pianista, e tutti erano fantastici. Vorrei che fosse più lungo, ma vale la pena di 25 Euro se non riesci a vedere la cosa reale!";"15.12";"24.78";"Most of the reviews are positive here, and I absolutely agree! Now, some advice: the show starts at 19:15, so it's good to be late. Dura hour, with a mini break between two series of 6 or 7 tracks each. You can buy tickets at the entrance, so no need to book in advance during slower periods (late August and the church was full for about half.) I went to the Italian selection, then Verdi, Puccini and a few others - two opera singers and a pianist, and all were great. I wish it was longer, but it is worth 25 euros if you can not see the real thing!";2;"0.25";"4.45";"0.14";"1.77";"90.24";"0.67";"2.26";"0.22"
"Esperienza culturale meravigliosa, grandi interpreti e una bellissima atmosfera. L'unica nota, per favore, elenca gli artisti con i loro nomi nel programma in futuro.";"19.78";"0.17";"wonderful cultural experience, great actors and a great atmosphere. The only note, please, lists the artists with their names in the program in the future.";4;"0.25";"4.77";"0.24";"1.74";"82.31";"1.13";"2.91";"6.65"
"Abbiamo apprezzato molto questo concerto d'opera di 60 minuti in una bella chiesa di Lucca. Eravamo in città solo per una sera, ma saremmo andati tutte le sere se fossimo rimasti qualche giorno in più. Siamo rimasti colpiti dal talento dei due cantanti e dalla maestria del pianista.";"22.57";"39.09";"We really enjoyed this concert opera 60 minutes in a beautiful church in Lucca. We were in town for only one night, but we would go every night if we had stayed a few more days. We were impressed by the talent of two singers and the pianist's mastery.";2;"4.57";"3.15";"2.93";"10.63";"43.32";"8.47";"4.31";"22.61"
"La scheda del programma avrebbe potuto includere le opere e le parole delle opere, preferibilmente anche in inglese. Lucca è stata una conoscenza molto piacevole!";"0.02";"0.00";"The program board could have included the works and words of the works, preferably in English. Lucca was a very pleasant acquaintance!";4;"0.45";"0.22";"0.13";"0.26";"95.45";"0.22";"3.22";"0.05"
"Siamo andati due volte all'esperienza Puccini ed è stato favoloso. Abbiamo apprezzato ogni momento dei concerti. Un meraviglioso accompagnatore e meravigliosi solisti, hanno dato vita alla musica. Una serata incantevole. Ne vale la pena. Vai";"95.99";"2.05";"We went twice Puccini experience and it was fabulous. We enjoyed every moment of the concert. A wonderful companion and wonderful soloists, gave life to music. A lovely evening. It's worth it. Go";2;"0.01";"0.02";"0.00";"0.01";"99.84";"0.01";"0.08";"0.03"
"Per il prezzo, vedere veri cantanti d'opera e violoncellista, pianista e violinista CON vino gratis, è stato fenomenale. L'unico problema è come arrivarci, potrebbero fare un lavoro migliore con la segnaletica, ho quasi perso lo spettacolo perché ero in ritardo a causa della difficoltà di trovare il posto. C'erano indirizzi diversi sul sito Web e su google maps (google maps ovviamente ha sempre ragione). I cantanti d'opera erano molto appassionati e hanno dato tutto, mi è piaciuto molto sentire la signora cantare perché era liscia come il miele. Il ragazzo era molto appassionato ed estremamente rumoroso / potente soprattutto perché il luogo era così piccolo. Sembra diverso da quanto pubblicizzato, ma in realtà lo preferisco perché volevo davvero vedere tutti da vicino. Questo è stato un affare super, intimo e molto buono. Qui su Trip Advisor è il posto migliore per acquistare il biglietto se vai direttamente è più costoso. Suggerimento: dal momento che è un luogo così piccolo, puoi prendere i posto ovunque, ci sono solo 4 file nel locale, è davvero piccolo, ma ancora una volta, mi è piaciuto così. Ho pianto un paio di volte perché era così bello ascoltare l'opera in Italia. Che spettacolo meraviglioso e ancora, un ottimo affare per quello che è stato.";"98.17";"10.58";"For the price, see real opera singers and a cellist, pianist and violinist with free wine, it has been phenomenal. The only problem is how to get there, could do a better job with signage, I almost missed the show because I was late because of the difficulty of finding the place. There were several addresses on the website and on google maps (google maps obviously always right). The opera singers were very passionate and have given everything, I loved to hear the lady sing because it was smooth as honey. The boy was very passionate and extremely loud / powerful mainly because the place was so small. It looks different than advertised, but actually I prefer it because I really wanted to see us all. This was a super deal, intimate and very good. Here on Trip Advisor is the best place to buy a ticket if you go directly is more expensive. Tip: since it is a place so small, can take place anywhere, there are only 4 files in place, is really small, but again, I liked that. I cried a couple of times because it was so nice to hear opera in Italy. What a wonderful show and still, a great bargain for what it was.";3;"1.23";"0.29";"0.77";"1.43";"88.69";"3.51";"1.57";"2.52"
"Aspetti positivi: un buon programma per me come dilettante che ama il genere ad un costo modesto. Aspetti negativi: soprano non eccellente, difficoltà a localizzare e accedere, assenza di bassi senza giustificazione";"36.47";"14.22";"Pros: a good program for me as an amateur who love the genre at a modest cost. Cons: soprano not excellent, difficult to locate and access, lack of bass without justification";2;"3.24";"5.92";"2.06";"21.35";"31.42";"6.54";"28.95";"0.53"
"Una serata fantastica con musicisti straordinari. Sicuramente la nostra migliore esperienza a Roma. Anche i nostri adolescenti che non erano così entusiasti di unirsi a noi erano assolutamente colpiti.";"79.94";"20.57";"A fantastic evening with extraordinary musicians. Definitely our best experience in Rome. Even our teenagers who were not so thrilled to join us were absolutely impressed.";3;"0.02";"0.21";"0.02";"0.06";"99.08";"0.08";"0.39";"0.15"
"Cinque musicisti fantastici hanno intrattenuto un pubblico di 20 (!) Persone per 80 minuti. Assolutamente magico. Sembrava di essere a casa di qualcuno. Fai fatica a capire come questo può andare avanti finanziariamente ... Vai lì se ami la musica.";"46.40";"46.96";"Five fantastic musicians have entertained an audience of 20 (!) People for 80 minutes. Absolutely magical. It was like being in someone's home. Make effort to understand how this can go ahead financially ... Go there if you love music.";3;"1.19";"0.35";"0.90";"1.09";"89.32";"2.97";"1.77";"2.42"
"Tempo eccezionale. L'Opera è stata assolutamente bellissima !!! Consigliamo vivamente di andare a quest'opera. Molto elegante";"97.82";"1.34";"Exceptional time. The Opera was absolutely beautiful !!! We highly recommend you go to this work. Very stylish";3;"0.86";"0.75";"0.07";"0.41";"96.94";"0.21";"0.62";"0.14"
"Abbiamo partecipato a un concerto a Palazzo Albertoni Spinola il 26 dicembre 2019. Nel programma 2 cantanti e 3 musicisti con una padronanza diversa. Nulla da dire sul soprano che ci ha incantato con il suo virtuosismo, il tenore ha messo buona volontà e cuore nella sua interpretazione ma è dovuto uscire dalla sua zona di comfort più volte durante la sua interpretazione, ci sono stati tanti piccoli problemi per lui. Inesattezze, mancanza di accuratezza e precipitazioni da parte del violinista, ma sapeva mettere emozione nei passaggi in cui si trovava a proprio agio. Questo quartetto avrebbe potuto farci divertire nonostante tutto, anche se per questo prezzo ci aspettavamo uno spettacolo più professionale. Non è stato male, visto che non hanno potuto contare sul pianista che ha letteralmente distrutto gli sforzi dei suoi colleghi. Nessuna sfumatura, nessuna emozione, ha letteralmente pestato sui tasti e ovviamente non conosceva bene i suoi spartiti. Insomma, un massacro.";"0.14";"2.14";"We attended a concert in Albertoni Spinola Palace on December 26, 2019. In the program two singers and three musicians with a different master. Nothing to say about the soprano who enchanted us with his virtuosity, the tenor has put good will and heart in her performance but had to get out of his comfort zone several times during her performance, there were many small problems for him. Inaccuracies, lack of accuracy and precipitation by the violinist, but he knew to put emotion in passages where he was at ease. This quartet could entertain us despite everything, although for this price we expected a more professional show. It was not bad, since it could not count on the pianist who has literally destroyed the efforts of his colleagues. No nuance, no emotion, literally pounded on the keys and obviously was not familiar with his music. In short, a massacre.";2;"2.78";"16.37";"1.74";"14.14";"45.98";"4.65";"13.46";"0.88"
"Opera affascinante. Il posto è un po 'piccolo, ma i musicisti e i cantanti sono piuttosto di alta qualità. Concerto davvero intimo e piacevole. Secondo la pubblicazione, mi aspettavo più persone sul palco, che è l'unica cosa di cui sono rimasto deluso, 12 persone si presentano, con 5 che effettivamente appaiono.";"10.75";"41.81";"Opera fascinating. The place is a bit 'small, but the musicians and the singers are pretty high quality. very intimate and enjoyable concert. According to the publication, I was expecting more people on stage, which is the only thing I was disappointed, 12 people show up with 5 that actually appear.";3;"3.72";"0.74";"2.37";"6.19";"35.34";"9.86";"41.53";"0.24"
"Il soprano e il tenore semplicemente spettacolari, l'ospite molto amichevole, gli artisti sono tutti attori di grande talento, assolutamente raccomandati";"1.78";"0.26";"The soprano and tenor simply spectacular, very friendly host, the artists are all very talented actors, definitely recommended";4;"0.19";"7.18";"0.14";"0.88";"80.92";"0.43";"10.06";"0.21"
"La sala e l'orchestra erano molto più piccole di quanto mi aspettassi dalla foto dell'annuncio. Nonostante ciò, io e mia moglie ci siamo trovati benissimo. L'orchestra di tre brani ha suonato bene e il soprano e il tenore hanno cantato bene. È stata un'esperienza meravigliosa per noi. Anche le dimensioni ridotte avevano dei vantaggi. Siamo stati trattati come individui piuttosto che come una folla!";"28.39";"6.90";"The hall and the orchestra were much smaller than I expected from the photos of. However, my wife and I really enjoyed it. The orchestra of three songs he performed well and the soprano and tenor sang well. It was a wonderful experience for us. the small size also had its advantages. We were treated as individuals rather than as a crowd!";2;"0.08";"0.39";"0.05";"0.19";"93.38";"0.15";"5.74";"0.03"
"Sono italiano, ma mi prometto di scrivere questo commento anche in inglese per essere il più chiaro possibile ed evitare che più turisti cadano in questa terribile trappola. Cominciamo con il luogo. Il posto è difficile da raggiungere perché l'indirizzo è fuorviante. Finisci in una piazza disseminata di spazzatura abbandonata (come al solito a Roma); le auto sono parcheggiate proprio davanti alla porta (se non quasi all'interno); la sala non è per nulla come pubblicizzato: ti aspetti un teatro e trovi una stanza molto piccola con non più di 35 sedie e non è affatto intima, è solo piccola; l'acustica è ridicola e di tanto in tanto è possibile sentire le auto suonare il clacson dall'esterno. Il programma: era banale, quello che avresti ascoltato in un ristorante italiano medio e in qualsiasi provincia fatiscente in tutto il mondo. E gli ""artisti"": il tenore, Pierluigi Paulucci, non cantava, urlava dai suoi polmoni. Non ho mai sentito ""Nessun dorma"" torturato in quel modo !! Il soprano, Aleksandra Buczek, non era migliore, senza timbro e profondità. Il ""pianoforte a coda"" pubblicizzato di Naomi Fujiya era un piano elettrico, che passadal piano al cembalo e viceversa. E infine c'era il ""vino gratis"": un bicchiere di vino che puoi comprare nei supermercati a 5 € a bottiglia. Per favore, non andare! Trascorri meglio il tuo tempo e spendi meglio i tuoi soldi: non lontano da ""Palazzo"" troverai un eccellente ristorante, ""Bottega tredici"", dove siamo andati ben prima della fine del concerto e dove ci siamo ristorati dalle nostre torture ...";"63.47";"48.99";"I'm Italian, but I promise to write this commentary in English to be as clear as possible and prevent more tourists fall into this terrible trap. Let's start with the place. The place is difficult to achieve because the address is misleading. Finish in a square littered with abandoned junk (as usual in Rome); cars are parked right outside the door (if not almost inside); the room is not at all as advertised: you expect a theater and find a very small room with no more than 35 seats and not at all intimate, it is only small; the acoustics is ridiculous and occasionally it is possible to hear cars honk outside. The program: it was trivial, what I'd heard in an average Italian restaurant and at any dilapidated province in the world. And the ""artists"": the tenor, Pierluigi Paolucci, not singing, screaming his lungs. I've never heard ""Nessun dorma"" tortured that way !! The soprano Aleksandra Buczek, was no better, no stamp and depth. The ""Grand Piano"" advertised by Naomi Fujiya was an electric piano, harpsichord that passadal floor and vice versa. And finally there was the ""free wine"": a glass of wine that you can buy in supermarkets at 5 € per bottle. Please do not go! Spend most of your time and you spend most of your money: Not far from the ""Palace"" you will find an excellent restaurant, ""Bottega thirteen"", where we went well before the end of the concert and where we refreshed by our torture ...";1;"1.52";"17.08";"1.27";"13.26";"50.65";"6.26";"8.69";"1.28"
"Cantano molto bene. Fidati di una persona con un'istruzione musicale superiore. Vai non te ne pentirai. Sono molto contento di essere riuscito a partecipare a un tale concerto";"61.57";"11.59";"They sing very well. Trust a person with a higher education music. Go you will not regret. I am very happy to be able to attend such a concert";3;"1.34";"11.78";"0.12";"3.06";"82.09";"0.50";"1.03";"0.07"
"Abbiamo comprato i biglietti da un uomo amichevole fuori dal Pantheon. Come era o ieri sera a Roma e a entrambi piace un po 'di opera, abbiamo pensato ""Perché no?"", Non sapendo davvero cosa aspettarci. Per fortuna abbiamo esplorato il luogo in anticipo o non avremmo mai trovato la porta poco attraente in una piccola piazza. Quanto eravamo contenti di averlo fatto. È davvero un posto molto piccolo da descrivere come una sala, ma un palcoscenico in miniatura è abbastanza grande per un mini pianoforte a coda, violoncello e violino e due solisti (un tenore e un soprano). Ero preoccupato che una voce addestrata a riempire senza sforzo un teatro sarebbe assordante in uno spazio così piccolo, ma non è stato un problema. Il programma stampato è solo una guida libera di ciò che ascolterai. Abbiamo ascoltato molte opere amate da Vivaldi, Puccini, Verdi e Mascagni. Mi sarebbe piaciuto sentire di più dai solisti, specialmente dal soprano che era eccellente (O Mio Babbino Caro è stato un momento di pelle d'oca). Abbiamo anche apprezzato il vino che era incluso nel prezzo del biglietto. Un modo piacevole di passare una serata a Roma.";"82.38";"7.66";"We bought tickets from a friendly man out of the Pantheon. How was either last night in Rome and both enjoy a little 'work, we thought ""Why not?"", Not really knowing what to expect. Luckily we explored the site in advance or we would have never found unattractive door in a small square. As we were happy we did. It really is a very small place to be described as a room, but a miniature stage is big enough for a mini grand piano, cello and violin and two soloists (tenor and soprano). I was worried that a voice trained to effortlessly fill a theater would be deafening in such a small space, but it was not a problem. The printed program is only a free guide of what you hear. We have heard many beloved operas by Vivaldi, Puccini, Verdi and Mascagni. I would have liked to hear more from the soloists, especially the soprano who was excellent (O Mio Babbino Caro was a moment of goose bumps). We also enjoyed the wine that was included in the ticket price. A pleasant way to spend an evening in Rome.";2;"3.45";"8.09";"3.72";"9.50";"43.23";"10.67";"12.99";"8.34"
"Prima di recensire la performance, devo solo dire che il volantino e le foto su questo sito sono in qualche modo fuorvianti! Il locale era minuscolo - e intendo piccolo! È stata descritta come una ""sala"" ma sono stato in salotti più grandi! Il palcoscenico poteva ospitare solo i 2 cantanti e i musicisti (1 violino, 1 violoncello e un piccolo pianoforte elettrico a coda). La prima fila ha pagato € 45 per un posto, ci siamo seduti nella fila dietro per € 35 e le tre file dietro di noi hanno pagato € 30. Non sono sicuro di come abbiano giustificato la differenza di prezzo di € 10 in un locale così piccolo! C'è bisogno del tempo per trovare il luogo che è davvero nascosto in alcune stradine secondarie vicino a Piazza di Spagna. Il volantino fornisce un programma, ma anche questo non è stato rispettato, quindi aspettatevi dei cambiamenti. I musicisti erano molto bravi. Dovevano esserci perché c'erano solo 2 brani vocali nella prima metà. Il violinista era di prim'ordine ma non siamo riusciti a scoprire quanto fosse brava la violoncellista dato che non aveva un momento per brillare. La pianista era brava, ma di nuovo il programma non le permetteva davvero di mostrare cosa poteva fare. Il soprano è stato eccellente! Il tenore ci ha stupito, ma il suo registro superiore era più che un po 'teso! A volte temevamo per la sua salute e alcune delle sue espressioni facciali quando raggiungeva le note di testa erano ""interessanti""! Ci siamo goduti la serata e siamo contenti di essere andati. Il vino incluso probabilmente ha aiutato un po '! È stato bello, ma non prenotare se stai cercando l'intera esperienza di ""opera"".";"43.30";"54.30";"Before reviewing the performance, I just have to say that the flyer and pictures on this website are somewhat misleading! The room was tiny - and I mean small! It has been described as a ""room"" but I've been in bigger parlors! The stage could only accommodate two singers and musicians (first violin, one cello and a small electric piano). The first row has paid € 45 for a seat, we sat in the back row for € 35 and three rows behind us paid € 30. I'm not sure how they justify the difference in price € 10 in a local well small! We need some time to find the place that is really hidden in some back streets near the Spanish Steps. The flyer provides a program, but this was not observed, so expect some changes. The musicians were very good. There must have been because there were only two vocal pieces in the first half. The violinist was top notch but we could not find out how good cellist since he had not a moment to shine. The pianist was good, but again the program not really allowed to show what he could do. The soprano was excellent! The tenor has amazed us, but his upper register was more than a little 'tense! Sometimes we feared for his health and some of his facial expressions when he reached the top notes were ""interesting""! We enjoyed the evening and we were glad we went. The wine included probably helped a bit '! It was nice, but do not book if you are looking for the whole experience of ""work.""";2;"2.16";"5.28";"0.85";"4.52";"75.58";"1.75";"9.48";"0.38"
"Il grande programma di 1 ora è eseguito da Alexandra Buczek (soprano) e Pierluigi Paulucci (tenore) in un'accogliente sala nel centro di Roma. Voci bellissime! Trova un'ora la sera per visitare il concerto e avrai la sensazione dell'opera italiana dal sapore napoletano.";"83.23";"9.82";"The large 1 program is now run by Alexandra Buczek (soprano) and Pierluigi Paolucci (tenor) in a cozy room in the center of Rome. Voices beautiful! Find an hour in the evening to visit the concert and you will have the feeling of Italian opera from the Neapolitan flavor.";2;"0.21";"12.70";"0.07";"1.68";"82.66";"0.49";"1.96";"0.22"
"Non ci aspettavamo un benvenuto così cordiale! Lo spazio era perfetto per poter ascoltare bene le voci. Le corde suonavano un numero di pezzi facilmente riconoscibili, di cui ero grato. Le voci si mescolavano bene ed erano piene e robuste. Arriviamo un po 'in anticipo. C'è un piccolo negozio pittoresco dietro l'angolo con incredibili ostriche francesi! Andremo di nuovo a vedere l'opera quando torneremo a Roma.";"70.04";"10.41";"We did not expect such a warm welcome! The space was perfect to be able to listen well the rumors. The strings sounded a number of pieces for easy identification of which I was grateful. The voices mingled well and were full and robust. We get a little 'in advance. There is a quaint little shop around the corner with incredible French oysters! We will go back to see the work when we return to Rome.";2;"12.62";"1.99";"6.51";"7.52";"41.26";"8.48";"20.60";"1.03"
"Il mio gruppo di tour ha assistito a un'esibizione di questo spettacolo venerdì 15 novembre. Il cast si è esibito magnificamente. La nostra unica delusione, e il motivo per cui non potevo dargli una valutazione di 5, è stato che la performance è stata pubblicizzata per una durata di 80 minuti e il nostro spettacolo è durato meno di 60 minuti. Lo spettacolo è iniziato in ritardo intorno alle 7:35 e ha avuto una pausa all'inizio dell'ora. Lo spettacolo è terminato intorno alle 8: 25-8: 30.";"2.50";"3.65";"My tour group attended a performance of the show Friday, November 15. The cast has performed magnificently. Our only disappointment, and why I could not give it a rating of 5 was that the performance was advertised for a period of 80 minutes and our show lasted less than 60 minutes. The show started late at around 7:35 and took a break at the beginning of the hour. The show ended around 8: 25-8: 30.";2;"33.12";"0.71";"15.33";"19.34";"3.82";"24.72";"2.50";"0.45"
"Durante il nostro soggiorno a ROMA, il caso ci ha fatto incontrare il direttore artistico Piotr della troupe dell'opera ARIAS e abbiamo assistito a una serata ricca di emozioni per la qualità dell'interpretazione delle melodie dell'Opera italiana accompagnata da 'un quartetto eccezionale. I 2 artisti lirici ci hanno impressionato tanto per le loro esibizioni quanto per i musicisti. Consigliamo vivamente questa sera in un luogo intimo, accompagnato da un buon bicchiere di vino italiano. Ringraziamo Piotr per la sua accoglienza e gentilezza. Marc e Corinne";"95.94";"0.81";"During our stay in Rome, the case has made us meet Piotr artistic director of the opera troupe ARIAS and we have witnessed an evening full of emotions for the quality of interpretation of Italian opera melodies accompanied by 'an exceptional quartet . The second opera artists have impressed us as much as for their performances for musicians. We can highly recommend this evening in an intimate place, accompanied by a good glass of Italian wine. Piotr thank for his hospitality and kindness. Marc and Corinne";2;"21.17";"2.62";"5.11";"8.21";"41.86";"8.46";"11.65";"0.91"
"È stato meraviglioso. Un piacere delizioso dopo una lunga giornata di viaggio. Il soprano era eccezionale, così come il tenore. La nostra unica delusione era che c'era un solo tenore. Abbiamo pensato che ci sarebbero stati 3 tenori.";"8.92";"17.81";"It was wonderful. A delicious treat after a long day of travel. The soprano was outstanding, as was the tenor. Our only disappointment was that there was only one tenor. We thought that there would be three tenors.";3;"2.09";"2.06";"2.16";"3.66";"74.05";"5.26";"6.42";"4.30"
"Il 24 ottobre siamo andati a un'eccellente serata d'opera in un'antica chiesa battista a Roma. Un'esperienza meravigliosa";"30.39";"1.01";"On 24 October we went to an excellent night at the opera in an old Baptist church in Rome. A wonderful experience";2;"0.18";"7.86";"0.17";"1.26";"84.45";"0.92";"3.61";"1.54"
"Questa è stata un'esperienza incantevole e straordinaria nel nostro viaggio di quattro giorni a Roma. Siamo arrivati presto e siamo stati accolti in modo molto amichevole dalle tre persone responsabili all'ingresso. Il concerto è stato bellissimo con artisti eccellenti. La chiesa era intima e carina ma l'acustica era splendida. Consiglio vivamente questo concerto.";"96.23";"0.58";"This was a lovely and extraordinary experience in our four-day trip to Rome. We arrived early and were greeted in a very friendly way by the three persons responsible for the entrance. The concert was beautiful with excellent artists. The church was intimate and nice but the acoustics were wonderful. I highly recommend this concert.";3;"0.48";"0.81";"0.45";"0.90";"90.80";"1.54";"4.55";"0.47"
"Un piccolo spazio con un'acustica eccellente nel mezzo dell'immensa Roma sono alla base di una notte magica, piena di lacrime di emozione, i cui responsabili erano 8 belle mani che accarezzavano corde e 2 voci che arrivavano nei nostri cuori. 10!! GRAZIE MOLTO PER GLI SPLENDIDI RICORDI !!";"93.65";"2.82";"A small space with excellent acoustics in the middle of the immense Roma are the basis of a magical night, filled with tears of excitement, whose leaders were 8 beautiful hands caressing strings and two voices that came in our hearts. 10 !! THANK YOU VERY MUCH FOR BEAUTIFUL MEMORIES !!";2;"0.07";"0.12";"0.03";"0.08";"99.08";"0.13";"0.35";"0.15"
"Prenotare questa esibizione è stata una buona idea per una serata insolita a Roma. Il luogo dello spettacolo era un'antica chiesa vicino a Panteon, dopo l'intera giornata è stato il modo migliore per rilassarsi e godersi questo momento con musica eccellente e vino gustoso. Soprattutto, gli artisti hanno cantato le arie d'opera italiane più conosciute, un'aggiunta eccellente al nostro breve viaggio a Roma.";"53.19";"0.13";"Book this performance was a good idea for an unusual evening in Rome. The venue of the show was an ancient church near the Pantheon, after the whole day was the best way to relax and enjoy this moment with great music and tasty wine. Above all, the artists sang the most famous Italian opera arias, an excellent addition to our short trip to Rome.";3;"0.04";"0.04";"0.03";"0.04";"99.28";"0.14";"0.27";"0.16"
"Se decidi di andare a Roma per un viaggio aziendale, organizza una serata con il tuo team con l'Opera da Camera di Roma. Ho avuto l'opportunità di invitare i miei colleghi lì e loro l'hanno adorato (anche io). Siamo andati come un gruppo di colleghi di lavoro, ma non c'è motivo per cui coppie o famiglie intere non apprezzerebbero l'esperienza. I musicisti erano fantastici così come i cantanti d'opera (veramente potenti e carismatici!) E l'acustica nella piccola e accogliente chiesa era davvero meravigliosa. Il personale era caldo e accogliente. Abbiamo trascorso una magnifica (ultima) serata a Roma. Altamente raccomandato!";"98.52";"3.23";"If you decide to go to Rome for a business trip, organizing an evening with your team with the Chamber Opera of Rome. I had the opportunity to invite my colleagues there and they loved them (even I). We went as a group of co-workers, but there is no reason why couples or entire families would not appreciate the experience. The musicians were fantastic as well as opera singers (really powerful and charismatic!) And the acoustics in the small and cozy church was truly wonderful. The staff was warm and welcoming. We spent a wonderful (last) night in Rome. Highly recommended!";3;"0.46";"1.40";"0.22";"1.57";"85.91";"0.62";"9.76";"0.07"
"È stata la migliore esibizione che abbia mai visto! Davvero fantastico! Questa serata è stata indimenticabile ... Mille grazie ai grandi cantanti che hanno reso questa serata così speciale! Le voci meravigliose dei cantanti sono ricordate ... :)";"93.50";"3.71";"It was the best performance I've ever seen! Really amazing! This evening was unforgettable ... Many thanks to the great singers who have made this evening so special! The wonderful voices of the singers are remembered ... :)";4;"0.00";"0.10";"0.00";"0.02";"99.63";"0.03";"0.17";"0.04"
"Performance ai massimi livelli, artisti eccezionali, luogo intimo, musica eccellente - è stata una serata indimenticabile a Roma :)";"12.98";"0.09";"Performance at the highest levels, exceptional artists, intimate, excellent music - it was a memorable evening in Rome :)";3;"0.00";"0.03";"0.00";"0.01";"99.82";"0.01";"0.10";"0.03"
"Abbiamo prenotato i biglietti per questo concerto e siamo rimasti molto delusi da quasi tutto ciò che la produzione aveva da offrire. Siamo arrivati alle 19:00 per ritirare i biglietti che abbiamo ordinato online, come richiesto. Abbiamo ricevuto i biglietti e ci è stato chiesto di tornare 5 minuti prima dell'inizio dello spettacolo. Non c'era posto per aspettare nei locali, il che è stato un problema poiché 2 di noi hanno più di 80 anni. Alla fine ci hanno permesso di prendere posto. Lo spettacolo è iniziato con 15 minuti di ritardo e poiché il tenore non è arrivato, abbiamo ricevuto un concerto musicale con tocchi di opera. La maggior parte del programma non è stata eseguita. Il concerto totale è durato 70 minuti incluso un intervallo di dieci minuti Questo non era assolutamente quello che mi aspettavo o quello per cui ho pagato. Ho provato a contattare la produzione via e-mail ma nessuno ha nemmeno risposto alla mia lamentela.";"9.95";"87.93";"We booked tickets for this concert and we were very disappointed by almost everything that the production had to offer. We arrived at 19:00 to pick up the tickets we ordered online, as required. We received the tickets and we were asked to come back five minutes before the show. There was no place to wait for the premises, which has been a problem since 2 of us have more than 80 years. Eventually they were allowed to take place. The show started with 15 minutes late and since the content did not arrive, we received a music concert with opera touches. Most of the program was not carried out. The total concert lasted 70 minutes including an interval of ten minutes This was definitely not what I expected or what I paid for. I tried to contact the production by e-mail but no one even responded to my complaint.";1;"16.19";"7.16";"6.58";"18.71";"22.26";"13.39";"9.73";"5.98"
"Sono stato sfortunato su più livelli. L'esecuzione è stata ritardata perché uno dei tenori non è arrivato e alcuni musicisti non sono riusciti a presentarsi. Il risultato è stato quello di avere più musica per quartetto d'archi che arie e, a causa del ritardo, siamo partiti dopo la metà del tempo. È stato anche irrisorio scoprire che lo stesso spettacolo veniva presentato a meno di 100 metri da dove alloggiavamo, ma non ne eravamo a conoscenza al momento della prenotazione.";"1.05";"5.21";"I was unfortunate on multiple levels. The execution was delayed because one of the levels has not arrived, and some musicians have failed to show up. The result has been to have more music for string quartet tunes and, because of the delay, we left after half the time. It was also ridiculously find out that the show itself was presented less than 100 meters from where we were staying, but we were not aware at the time of booking.";1;"85.15";"0.01";"1.22";"0.37";"9.80";"3.21";"0.22";"0.02"
"A parte il fatto che il concerto è iniziato in ritardo a causa della mancata presentazione del tenore, tutto ciò che riguarda il concerto è stato magnifico. I due soprani erano incredibili nelle loro capacità di cantare i brani che erano stati selezionati in un modo che era superiore a molte altre interpretazioni delle arie che io e mia moglie abbiamo ascoltato in passato. L'orchestra si è anche esibita ad un livello che ha dimostrato una padronanza superiore dei loro strumenti. Tutto sommato, un bellissimo modo di trascorrere una serata.";"1.17";"0.07";"Apart from the fact that the concert started late due to the non-presentation of content, everything about the concert was magnificent. The two sopranos were incredible in their ability to sing the songs that were selected in a way that was more than many other interpretations of tunes that my wife and I have heard in the past. The orchestra has also performed at a level that has demonstrated superior mastery of their instruments. All in all, a great way to spend an evening.";2;"10.12";"0.12";"4.36";"1.70";"70.07";"4.56";"8.75";"0.32"
